"
stimulus_presentations_id","stimulus_block
","stimulus_block_name
","image_index
","image_name
","movie_frame_index
","duration
","start_time
","end_time
","start_frame
","end_frame
","is_change
","is_image_novel
","omitted
","movie_repeat
","flashes_since_change
","trials_id
","is_sham_change
","stimulus_name
","active
"
5155,3,natural_movie_one,-99,NaN,347,0.03335,4226.396846,4226.430196,252950,252951,False,<NA>,<NA>,0,354,-99,False,natural_movie_one,False
5156,3,natural_movie_one,-99,NaN,348,0.03344,4226.430196,4226.463636,252952,252953,False,<NA>,<NA>,0,355,-99,False,natural_movie_one,False
5157,3,natural_movie_one,-99,NaN,349,0.03331,4226.463636,4226.496946,252954,252955,False,<NA>,<NA>,0,356,-99,False,natural_movie_one,False
5158,3,natural_movie_one,-99,NaN,350,0.03331,4226.496946,4226.530256,252956,252957,False,<NA>,<NA>,0,357,-99,False,natural_movie_one,False
5159,3,natural_movie_one,-99,NaN,351,0.03337,4226.530256,4226.563626,252958,252959,False,<NA>,<NA>,0,358,-99,False,natural_movie_one,False
5160,3,natural_movie_one,-99,NaN,352,0.03333,4226.563626,4226.596956,252960,252961,False,<NA>,<NA>,0,359,-99,False,natural_movie_one,False
5161,3,natural_movie_one,-99,NaN,353,0.03338,4226.596956,4226.630336,252962,252963,False,<NA>,<NA>,0,360,-99,False,natural_movie_one,False
5162,3,natural_movie_one,-99,NaN,354,0.03335,4226.630336,4226.663686,252964,252965,False,<NA>,<NA>,0,361,-99,False,natural_movie_one,False
5163,3,natural_movie_one,-99,NaN,355,0.03338,4226.663686,4226.697066,252966,252967,False,<NA>,<NA>,0,362,-99,False,natural_movie_one,False
5164,3,natural_movie_one,-99,NaN,356,0.03335,4226.697066,4226.730416,252968,252969,False,<NA>,<NA>,0,363,-99,False,natural_movie_one,False
5165,3,natural_movie_one,-99,NaN,357,0.03340,4226.730416,4226.763816,252970,252971,False,<NA>,<NA>,0,364,-99,False,natural_movie_one,False
5166,3,natural_movie_one,-99,NaN,358,0.03328,4226.763816,4226.797096,252972,252973,False,<NA>,<NA>,0,365,-99,False,natural_movie_one,False
5167,3,natural_movie_one,-99,NaN,359,0.03340,4226.797096,4226.830496,252974,252975,False,<NA>,<NA>,0,366,-99,False,natural_movie_one,False
5168,3,natural_movie_one,-99,NaN,360,0.03342,4226.830496,4226.863916,252976,252977,False,<NA>,<NA>,0,367,-99,False,natural_movie_one,False
5169,3,natural_movie_one,-99,NaN,361,0.03335,4226.863916,4226.897266,252978,252979,False,<NA>,<NA>,0,368,-99,False,natural_movie_one,False
5170,3,natural_movie_one,-99,NaN,362,0.03338,4226.897266,4226.930646,252980,252981,False,<NA>,<NA>,0,369,-99,False,natural_movie_one,False
5171,3,natural_movie_one,-99,NaN,363,0.03332,4226.930646,4226.963966,252982,252983,False,<NA>,<NA>,0,370,-99,False,natural_movie_one,False
5172,3,natural_movie_one,-99,NaN,364,0.03332,4226.963966,4226.997286,252984,252985,False,<NA>,<NA>,0,371,-99,False,natural_movie_one,False
5173,3,natural_movie_one,-99,NaN,365,0.03337,4226.997286,4227.030656,252986,252987,False,<NA>,<NA>,0,372,-99,False,natural_movie_one,False
5174,3,natural_movie_one,-99,NaN,366,0.03336,4227.030656,4227.064016,252988,252989,False,<NA>,<NA>,0,373,-99,False,natural_movie_one,False
