timestamps,cell_specimen_id,dff,session_type,behavior_session_id,cre_line,pupil_area,speed
309.4126,1086489601,-0.06451836,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3696.12,0.03357638
309.4449,1086489601,0.032858886,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3612.0896,0.108281836
309.4772,1086489601,0.015739188,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3413.312,0.086492576
309.50952,1086489601,-0.06478807,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3589.1145,0.0221763
309.5418,1086489601,-0.1011191,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3728.5242,-0.0054214657
309.57413,1086489601,-0.00419741,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3658.9026,0.04366552
309.6064,1086489601,-0.0011851594,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3502.7822,0.14106171
309.63873,1086489601,0.042357188,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3431.6887,0.22783558
309.67102,1086489601,-0.023651542,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3658.6387,0.25932953
309.70334,1086489601,0.008365328,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3747.8726,0.23495695
309.73563,1086489601,0.035439696,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3773.961,0.17416675
309.76794,1086489601,0.06579776,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3843.3967,0.090103135
309.80026,1086489601,0.024035865,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3842.2842,-0.005165687
309.83255,1086489601,-0.02015493,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3761.3948,-0.09767739
309.86484,1086489601,-0.0747295,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3648.8923,-0.17266265
309.89716,1086489601,-0.021411616,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3780.8914,-0.2214857
309.92947,1086489601,-0.01979062,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3855.5178,-0.22817585
