ophys_experiment_id,equipment_name,full_genotype,mouse_id,reporter_line,driver_line,sex,age_in_days,cre_line,indicator,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ophys_session_id,behavior_session_id,ophys_container_id,project_code,imaging_depth,targeted_structure,date_of_acquisition,session_type,experience_level,passive,image_set,file_id,cell_type
1051217227,CAM2P.3,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,533527,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,123,Sst-IRES-Cre,GCaMP6f,3,1,13,3,1051119110,1051142682,1049224697,VisualBehavior,275,VISp,44091.69141,OPHYS_3_images_A,Familiar,FALSE,A,1051263952,Sst Inhibitory
1051423446,CAM2P.3,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,533527,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,124,Sst-IRES-Cre,GCaMP6f,4,0,0,4,1051327401,1051341605,1049224697,VisualBehavior,275,VISp,44092.69495,OPHYS_4_images_B,Novel 1,FALSE,B,1051471570,Sst Inhibitory
1052391266,CAM2P.3,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,533527,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,129,Sst-IRES-Cre,GCaMP6f,6,1,3,7,1052307202,1052327057,1049224697,VisualBehavior,275,VISp,44097.75637,OPHYS_6_images_B,Novel >1,FALSE,B,1052421642,Sst Inhibitory
1065966776,CAM2P.3,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,538219,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,166,Vip-IRES-Cre,GCaMP6f,1,1,14,1,1065818402,1065864253,1064333290,VisualBehavior,175,VISp,44159.68939,OPHYS_1_images_A,Familiar,FALSE,A,1065999767,Vip Inhibitory
1067133170,CAM2P.3,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,538219,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,172,Vip-IRES-Cre,GCaMP6f,3,0,16,3,1066943402,1066967257,1064333290,VisualBehavior,175,VISp,44165.72353,OPHYS_3_images_A,Familiar,FALSE,A,1067162984,Vip Inhibitory
1067648397,CAM2P.3,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,538219,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,174,Vip-IRES-Cre,GCaMP6f,4,0,0,4,1067593227,1067611874,1064333290,VisualBehavior,175,VISp,44167.8873,OPHYS_4_images_B,Novel 1,FALSE,B,1085998027,Vip Inhibitory
1069286452,CAM2P.3,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,538219,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,181,Vip-IRES-Cre,GCaMP6f,6,1,3,7,1069224939,1069251048,1064333290,VisualBehavior,175,VISp,44174.91955,OPHYS_6_images_B,Novel >1,FALSE,B,1069315563,Vip Inhibitory
972701564,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,479426,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,135,Slc17a7-IRES2-Cre,GCaMP6s,1,0,23,0,972293086,972429310,968451510,VisualBehavior,175,VISp,43762.63472,OPHYS_1_images_A,Familiar,FALSE,A,972885889,Excitatory
974384470,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,479426,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,141,Slc17a7-IRES2-Cre,GCaMP6s,3,1,27,4,974019098,974140453,968451510,VisualBehavior,175,VISp,43768.65299,OPHYS_3_images_A,Familiar,FALSE,A,974487242,Excitatory
974945686,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,479426,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,142,Slc17a7-IRES2-Cre,GCaMP6s,4,0,0,5,974479344,974606492,968451510,VisualBehavior,175,VISp,43769.62567,OPHYS_4_images_B,Novel 1,FALSE,B,975933665,Excitatory
