behavior_session_id,ophys_session_id,ophys_container_id,mouse_id,indicator,full_genotype,driver_line,cre_line,reporter_line,sex,age_in_days,imaging_plane_group_count,project_code,session_type,session_number,image_set,behavior_type,experience_level,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,date_of_acquisition,equipment_name,num_depths_per_area,ophys_experiment_id,num_targeted_structures,correct_reject_trial_count,catch_trial_count,go_trial_count,miss_trial_count,trial_count,file_id,false_alarm_trial_count,engaged_trial_count,hit_trial_count,auto_reward_count,earned_reward_count,total_reward_count,total_reward_volume,maximum_reward_rate,mean_hit_rate,mean_hit_rate_uncorrected,mean_hit_rate_engaged,mean_false_alarm_rate,mean_false_alarm_rate_uncorrected,mean_false_alarm_rate_engaged,mean_dprime,mean_dprime_engaged,max_dprime,max_dprime_engaged,mean_running_speed,mean_pupil_area,mean_dff
817925173,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,142,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,2,19,13,04-02-19 13:38,CAM2P.4,,,,23,30,197,41,639,3888,7,570,156,0,156,156,1.092,4.524530232,0.804464446,0.809053286,0.807038175,0.255509664,0.297565739,0.259626389,1.556683454,1.547600243,2.252498922,2.252498922,36.00567177,,
821521826,821471625,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,150,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,3,20,14,12-02-19 10:11,CAM2P.3,1,[822024770],1,30,33,227,94,649,-999,3,417,133,0,133,133,0.931,4.572923403,0.711188861,0.717803128,0.804398297,0.180352468,0.175251735,0.231253756,1.763066722,1.865129387,2.759510729,2.759510729,18.68885265,1.151017066,0.007914329
808126003,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,121,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,18,5,14-01-19 9:58,CAM2P.4,,,,34,39,275,174,591,3882,5,293,101,0,101,101,0.707,3.927176593,0.374726741,0.368412039,0.481764953,0.149661845,0.134094715,0.171667298,0.751242091,0.903130252,1.450803532,1.377404888,22.82168405,,
822995693,822734832,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,152,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,1,22,16,14-02-19 10:36,CAM2P.3,1,[823392290],1,30,38,255,107,577,-999,8,389,148,0,148,148,1.036,4.753826471,0.709552345,0.715833453,0.824033448,0.300662898,0.325836509,0.39015423,1.276226612,1.348088809,2.220731231,2.220731231,22.51569128,1.19360434,0.006900022
808761500,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,122,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,6,15-01-19 9:31,CAM2P.4,,,,40,43,301,250,551,3883,3,134,51,0,51,51,0.357,4.144309324,0.263223286,0.257853575,0.734487612,0.125717822,0.087424127,0.268300654,0.181067043,1.288130585,1.896035172,1.768516095,24.00409305,,
824625446,824433631,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,156,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,1,5,17,18-02-19 9:56,CAM2P.3,1,[825120601],1,36,39,273,124,578,-999,3,399,149,0,149,149,1.043,5.278430119,0.691074098,0.69740739,0.914339007,0.125608678,0.086646938,0.164906352,1.910758096,2.494730781,3.245725995,3.245725995,21.65302183,1.362815814,0.009795661
809606861,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,124,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,0,2,8,17-01-19 9:56,CAM2P.4,,,,34,38,261,119,599,3885,4,383,142,0,142,142,0.994,4.363684112,0.670529291,0.679481907,0.872104887,0.183563229,0.179200462,0.258384131,1.764085376,2.168311746,2.96579696,2.96579696,35.47934391,,
812843373,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,131,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,1,3,11,24-01-19 9:49,CAM2P.4,,,,42,45,310,238,546,3886,3,157,72,0,72,72,0.504,4.671285934,0.349872858,0.355099643,0.800150774,0.141729356,0.13233035,0.316791542,0.588287807,1.501851375,2.110388485,2.110388485,22.74779381,,
815011426,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,136,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,2,4,12,29-01-19 14:11,CAM2P.4,,,,32,39,264,129,559,3887,7,329,135,0,135,135,0.945,4.908273427,0.628512351,0.635096105,0.764690085,0.219432616,0.229399394,0.238921602,1.192073221,1.526416683,2.532242863,2.532242863,36.10277909,,
825801398,825682144,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,158,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,3,7,19,20-02-19 9:25,CAM2P.3,1,[826585773],1,41,43,295,219,545,-999,2,155,76,0,76,76,0.532,4.365035556,0.383456344,0.389216439,0.882106172,0.092637361,0.063889986,0.19025974,0.996375345,2.136899024,2.801336202,2.801336202,18.96534404,1.249271151,0.008663428
